Date,Step,Activity_time,Mileage,Calorie
2020/8/7,4802,48,3.3,99
2020/8/8,16316,187,11.2,323
2020/8/9,14832,175,10.1,283
2020/8/10,3378,44,2.2,60
2020/8/11,10350,113,7.1,203
2020/8/12,0,0,0,0
2020/8/13,6286,81,4.1,116
2020/8/14,0,0,0,0
2020/8/15,12385,143,8.6,247
2020/8/16,1424,16,0.9,27
2020/8/17,11202,126,8,235
2020/8/18,5216,61,3.5,102
2020/8/19,773,12,0.5,14
2020/8/20,12612,131,9.2,263
2020/8/21,6430,73,4.3,119
2020/8/22,286,5,0.1,6
2020/8/23,636,10,420,13
2020/8/24,11382,118,8.2,231
2020/8/25,10483,112,7.4,208
2020/8/26,9135,100,6.4,186
2020/8/27,5488,63,3.7,107
2020/8/28,11815,122,8.5,248
2020/8/29,4971,67,3.2,95
2020/8/30,18909,225,13,372
2020/8/31,7089,84,4.7,138
2020/9/1,6312,73,4.3,124
2020/9/2,11501,114,7.9,224
2020/9/3,8947,95,6.3,179
2020/9/4,8873,105,6.1,169
2020/9/5,0,0,0,0
2020/9/6,0,0,0,0
2020/9/7,5187,65,3.4,99
2020/9/8,4916,56,3.3,91
2020/9/9,6546,79,4.4,118
2020/9/10,2045,27,1.3,35
2020/9/11,7277,84,5,144